id;segment_code;segment;family_code;family;created_at;updated_at
422;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1010;Animales vivos;2025-10-10 18:06:41;2025-10-10 18:06:41
423;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1011;Productos para animales domésticos;2025-10-10 18:06:41;2025-10-10 18:06:41
424;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1012;Comida de animales;2025-10-10 18:06:41;2025-10-10 18:06:41
425;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1013;Recipientes y hábitat para animales;2025-10-10 18:06:42;2025-10-10 18:06:42
426;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1014;Productos de talabartería y arreo;2025-10-10 18:06:42;2025-10-10 18:06:42
427;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1015;"Semillas, bulbos, plántulas y esquejes";2025-10-10 18:06:42;2025-10-10 18:06:42
428;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1016;Productos de floricultura y silvicultura;2025-10-10 18:06:42;2025-10-10 18:06:42
429;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1017;Fertilizantes y nutrientes para plantas y herbicidas;2025-10-10 18:06:43;2025-10-10 18:06:43
430;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1019;Productos para el control de plagas ;2025-10-10 18:06:43;2025-10-10 18:06:43
431;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1020;Rosales vivos;2025-10-10 18:06:43;2025-10-10 18:06:43
432;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1021;Plantas vivas  de especies o variedades de flores altas;2025-10-10 18:06:43;2025-10-10 18:06:43
433;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1022;Plantas vivas  de especies o variedades de flores bajas;2025-10-10 18:06:43;2025-10-10 18:06:43
434;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1023;Crisantemos vivos;2025-10-10 18:06:44;2025-10-10 18:06:44
435;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1024;Claveles vivos;2025-10-10 18:06:44;2025-10-10 18:06:44
436;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1025;Orquídeas vivas;2025-10-10 18:06:44;2025-10-10 18:06:44
437;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1030;Rosas frescas cortadas;2025-10-10 18:06:44;2025-10-10 18:06:44
438;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1031;Bouquets cortados frescos  de especies o variedades de flores altas;2025-10-10 18:06:44;2025-10-10 18:06:44
439;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1032;Bouquets cortados frescos  de especies o variedades de flores bajas;2025-10-10 18:06:45;2025-10-10 18:06:45
440;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1033;Crisantemos cortados frescos;2025-10-10 18:06:45;2025-10-10 18:06:45
441;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1034;Bouquets florales cortados frescos;2025-10-10 18:06:45;2025-10-10 18:06:45
442;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1035;Claveles cortados frescos;2025-10-10 18:06:45;2025-10-10 18:06:45
443;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1036;Orquídeas cortadas frescas;2025-10-10 18:06:45;2025-10-10 18:06:45
444;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1040;Rosas cortadas secas;2025-10-10 18:06:46;2025-10-10 18:06:46
445;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1041;Bouquets cortados secos  de especies o variedades de flores altas;2025-10-10 18:06:46;2025-10-10 18:06:46
446;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1042;Bouquets cortados secos  de especies o variedades de flores bajas;2025-10-10 18:06:46;2025-10-10 18:06:46
447;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1043;Crisantemos cortados secos;2025-10-10 18:06:46;2025-10-10 18:06:46
448;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1044;Claveles cortados secos;2025-10-10 18:06:46;2025-10-10 18:06:46
449;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1045;Orquídeas cortadas secas;2025-10-10 18:06:47;2025-10-10 18:06:47
450;10;"Material Vivo Vegetal y Animal, Accesorios y Suministros";1050;Follaje cortado fresco;2025-10-10 18:06:47;2025-10-10 18:06:47
451;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1110;"Minerales, minerales metálicos y metales";2025-10-10 18:06:47;2025-10-10 18:06:47
452;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1111;Tierra y piedra;2025-10-10 18:06:47;2025-10-10 18:06:47
453;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1112;Productos no comestibles de planta y silvicultura;2025-10-10 18:06:47;2025-10-10 18:06:47
454;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1113;Productos animales no comestibles;2025-10-10 18:06:48;2025-10-10 18:06:48
455;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1114;Chatarra y materiales de desecho;2025-10-10 18:06:48;2025-10-10 18:06:48
456;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1115;"Fibra, hilos e hilados";2025-10-10 18:06:48;2025-10-10 18:06:48
457;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1116;Tejidos y materiales de cuero;2025-10-10 18:06:48;2025-10-10 18:06:48
458;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1117;Aleaciones;2025-10-10 18:06:48;2025-10-10 18:06:48
459;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1118;Óxido metálico;2025-10-10 18:06:49;2025-10-10 18:06:49
460;11;"Material Mineral, Textil y  Vegetal y Animal No Comestible";1119;Desechos metálicos y chatarra;2025-10-10 18:06:49;2025-10-10 18:06:49
461;12;Material Químico incluyendo Bioquímicos y Materiales de Gas;1213;Materiales explosivos;2025-10-10 18:06:49;2025-10-10 18:06:49
462;12;Material Químico incluyendo Bioquímicos y Materiales de Gas;1214;Elementos y gases;2025-10-10 18:06:49;2025-10-10 18:06:49
463;12;Material Químico incluyendo Bioquímicos y Materiales de Gas;1216;Aditivos;2025-10-10 18:06:49;2025-10-10 18:06:49
464;12;Material Químico incluyendo Bioquímicos y Materiales de Gas;1217;Colorantes;2025-10-10 18:06:50;2025-10-10 18:06:50
465;12;Material Químico incluyendo Bioquímicos y Materiales de Gas;1218;Ceras y aceites;2025-10-10 18:06:50;2025-10-10 18:06:50
466;12;Material Químico incluyendo Bioquímicos y Materiales de Gas;1219;Solventes;2025-10-10 18:06:50;2025-10-10 18:06:50
467;12;Material Químico incluyendo Bioquímicos y Materiales de Gas;1235;Compuestos y mezclas;2025-10-10 18:06:50;2025-10-10 18:06:50
468;13;"Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos";1310;Caucho y elastómeros;2025-10-10 18:06:50;2025-10-10 18:06:50
469;13;"Materiales de Resina, Colofonia, Caucho, Espuma, Película y Elastómericos";1311;Resinas y colofonias y otros materiales derivados de resina;2025-10-10 18:06:51;2025-10-10 18:06:51
470;14;Materiales y Productos de Papel;1410;Materiales de papel;2025-10-10 18:06:51;2025-10-10 18:06:51
471;14;Materiales y Productos de Papel;1411;Productos de papel;2025-10-10 18:06:51;2025-10-10 18:06:51
472;14;Materiales y Productos de Papel;1412;Papel para uso industrial;2025-10-10 18:06:51;2025-10-10 18:06:51
473;15;"Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos";1510;Combustibles;2025-10-10 18:06:51;2025-10-10 18:06:51
474;15;"Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos";1511;Combustibles gaseosos y aditivos;2025-10-10 18:06:52;2025-10-10 18:06:52
475;15;"Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos";1512;"Lubricantes, aceites, grasas y anticorrosivos";2025-10-10 18:06:52;2025-10-10 18:06:52
476;15;"Materiales Combustibles, Aditivos para Combustibles, Lubricantes y Anticorrosivos";1513;Combustible para reactores nucleares;2025-10-10 18:06:52;2025-10-10 18:06:52
477;20;Maquinaria y Accesorios de Minería y Perforación de Pozos;2010;Maquinaria y equipo de minería y explotación de canteras;2025-10-10 18:06:52;2025-10-10 18:06:52
478;20;Maquinaria y Accesorios de Minería y Perforación de Pozos;2011;Equipo de perforación y explotación de pozos;2025-10-10 18:06:52;2025-10-10 18:06:52
479;20;Maquinaria y Accesorios de Minería y Perforación de Pozos;2012;Equipo para perforación y exploración de petróleo y gas;2025-10-10 18:06:53;2025-10-10 18:06:53
480;20;Maquinaria y Accesorios de Minería y Perforación de Pozos;2013;Materiales para  perforación y operaciones de petróleo y gas;2025-10-10 18:06:53;2025-10-10 18:06:53
481;20;Maquinaria y Accesorios de Minería y Perforación de Pozos;2014;Equipo de producción y operación de petróleo y gas;2025-10-10 18:06:53;2025-10-10 18:06:53
482;21;"Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna";2110;"Maquinaria y equipo para agricultura, silvicultura y paisajismo";2025-10-10 18:06:53;2025-10-10 18:06:53
483;21;"Maquinaria y Accesorios para Agricultura, Pesca, Silvicultura y Fauna";2111;Equipo de pesca y acuicultura;2025-10-10 18:06:53;2025-10-10 18:06:53
484;22;Maquinaria y Accesorios para Construcción y Edificación;2210;Maquinaria y equipo pesado de construcción;2025-10-10 18:06:54;2025-10-10 18:06:54
485;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2310;Maquinaria para el procesamiento de materias primas;2025-10-10 18:06:54;2025-10-10 18:06:54
486;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2311;Maquinaria para el procesamiento de petróleo;2025-10-10 18:06:54;2025-10-10 18:06:54
487;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2312;Maquinaria y accesorios de textiles y tejidos;2025-10-10 18:06:54;2025-10-10 18:06:54
488;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2313;Maquinaria y equipos lapidarios;2025-10-10 18:06:54;2025-10-10 18:06:54
489;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2314;Maquinaria de reparación y accesorios para marroquinería;2025-10-10 18:06:55;2025-10-10 18:06:55
490;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2315;"Maquinaria, equipo y suministros de procesos industriales";2025-10-10 18:06:55;2025-10-10 18:06:55
491;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2316;"Máquinas, equipo y suministros para fundición";2025-10-10 18:06:55;2025-10-10 18:06:55
492;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2318;Equipo industrial para alimentos y bebidas;2025-10-10 18:06:55;2025-10-10 18:06:55
493;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2319;Mezcladores y sus partes y accesorios;2025-10-10 18:06:55;2025-10-10 18:06:55
494;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2320;Equipamiento para transferencia de masa;2025-10-10 18:06:56;2025-10-10 18:06:56
495;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2321;"Maquinaria de fabricación electrónica, equipo y accesorios";2025-10-10 18:06:56;2025-10-10 18:06:56
496;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2322;Equipo y maquinaria de procesamiento de pollos;2025-10-10 18:06:56;2025-10-10 18:06:56
497;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2323;Equipo y maquinaria de procesamiento de madera y aserrado;2025-10-10 18:06:56;2025-10-10 18:06:56
498;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2324;Maquinaria y accesorios para cortar metales;2025-10-10 18:06:56;2025-10-10 18:06:56
499;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2325;Maquinaria y accesorios para el formado de metales;2025-10-10 18:06:57;2025-10-10 18:06:57
500;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2326;Maquinaria y accesorios para hacer prototipos rápidos;2025-10-10 18:06:57;2025-10-10 18:06:57
501;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2327;Maquinaria y accesorios y suministros para soldadura de todas las clases;2025-10-10 18:06:57;2025-10-10 18:06:57
502;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2328;Maquinaria para el tratamiento de metal;2025-10-10 18:06:57;2025-10-10 18:06:57
503;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2329;Herramientas de maquinado industrial;2025-10-10 18:06:57;2025-10-10 18:06:57
504;23;Maquinaria y Accesorios para Manufactura y Procesamiento Industrial;2330;Maquinaria y equipo para cable;2025-10-10 18:06:58;2025-10-10 18:06:58
505;24;"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales";2410;Maquinaria y equipo para manejo de materiales;2025-10-10 18:06:58;2025-10-10 18:06:58
506;24;"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales";2411;Recipientes y almacenamiento;2025-10-10 18:06:58;2025-10-10 18:06:58
507;24;"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales";2412;Materiales de empaque;2025-10-10 18:06:58;2025-10-10 18:06:58
508;24;"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales";2413;Refrigeración industrial;2025-10-10 18:06:59;2025-10-10 18:06:59
509;24;"Maquinaria, Accesorios y Suministros para Manejo, Acondicionamiento y Almacenamiento de Materiales";2414;Suministros de embalaje;2025-10-10 18:06:59;2025-10-10 18:06:59
510;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2510;Vehículos de motor;2025-10-10 18:06:59;2025-10-10 18:06:59
511;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2511;Transporte marítimo;2025-10-10 18:06:59;2025-10-10 18:06:59
512;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2512;Maquinaria y equipo para ferrocarril y tranvías;2025-10-10 18:06:59;2025-10-10 18:06:59
513;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2513;Aeronaves;2025-10-10 18:07:00;2025-10-10 18:07:00
514;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2515;Naves espaciales;2025-10-10 18:07:00;2025-10-10 18:07:00
515;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2516;Bicicletas no motorizadas;2025-10-10 18:07:00;2025-10-10 18:07:00
516;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2517;Componentes y sistemas de transporte;2025-10-10 18:07:00;2025-10-10 18:07:00
517;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2518;Carrocerías y remolques;2025-10-10 18:07:00;2025-10-10 18:07:00
518;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2519;Equipo para servicios de transporte;2025-10-10 18:07:01;2025-10-10 18:07:01
519;25;"Vehículos Comerciales, Militares y Particulares, Accesorios y Componentes";2520;Sistemas  y componentes y equipos aeroespaciales;2025-10-10 18:07:01;2025-10-10 18:07:01
520;26;Maquinaria y Accesorios para Generación y Distribución de Energía;2610;Fuentes de energía;2025-10-10 18:07:01;2025-10-10 18:07:01
521;26;Maquinaria y Accesorios para Generación y Distribución de Energía;2611;Baterías y generadores y transmisión de energía cinética;2025-10-10 18:07:01;2025-10-10 18:07:01
522;26;Maquinaria y Accesorios para Generación y Distribución de Energía;2612;"Alambres, cables y arneses";2025-10-10 18:07:01;2025-10-10 18:07:01
523;26;Maquinaria y Accesorios para Generación y Distribución de Energía;2613;Generación de energía;2025-10-10 18:07:02;2025-10-10 18:07:02
524;26;Maquinaria y Accesorios para Generación y Distribución de Energía;2614;Maquinaria y equipo para energía atómica o nuclear;2025-10-10 18:07:02;2025-10-10 18:07:02
525;27;Herramientas y Maquinaria General;2711;Herramientas de mano;2025-10-10 18:07:02;2025-10-10 18:07:02
526;27;Herramientas y Maquinaria General;2712;Maquinaria y equipo hidráulico;2025-10-10 18:07:02;2025-10-10 18:07:02
527;27;Herramientas y Maquinaria General;2713;Maquinaria y equipo neumático;2025-10-10 18:07:02;2025-10-10 18:07:02
528;27;Herramientas y Maquinaria General;2714;Herramientas especializadas automotrices;2025-10-10 18:07:03;2025-10-10 18:07:03
529;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3010;Componentes estructurales y formas básicas;2025-10-10 18:07:03;2025-10-10 18:07:03
530;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3011;"Hormigón, cemento y yeso";2025-10-10 18:07:03;2025-10-10 18:07:03
531;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3012;Carreteras y paisaje;2025-10-10 18:07:03;2025-10-10 18:07:03
532;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3013;Productos de construcción estructurales;2025-10-10 18:07:03;2025-10-10 18:07:03
533;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3014;Aislamiento;2025-10-10 18:07:04;2025-10-10 18:07:04
534;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3015;Materiales para acabado de exteriores;2025-10-10 18:07:04;2025-10-10 18:07:04
535;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3016;Materiales de acabado de interiores;2025-10-10 18:07:04;2025-10-10 18:07:04
536;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3017;Puertas y ventanas y vidrio;2025-10-10 18:07:04;2025-10-10 18:07:04
537;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3018;Instalaciones de plomería;2025-10-10 18:07:04;2025-10-10 18:07:04
538;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3019;Equipo de apoyo para Construcción y Mantenimiento;2025-10-10 18:07:05;2025-10-10 18:07:05
539;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3024;Componentes de construcción de estructura portátil;2025-10-10 18:07:05;2025-10-10 18:07:05
540;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3025;Estructuras y materiales de minería subterránea;2025-10-10 18:07:05;2025-10-10 18:07:05
541;30;"Componentes y Suministros para Estructuras, Edificación, Construcción y Obras Civiles";3026;Materiales estructurales;2025-10-10 18:07:05;2025-10-10 18:07:05
542;31;Componentes y Suministros de Manufactura;3110;Piezas de fundición y ensambles de piezas de fundición;2025-10-10 18:07:05;2025-10-10 18:07:05
543;31;Componentes y Suministros de Manufactura;3111;Extrusiones;2025-10-10 18:07:06;2025-10-10 18:07:06
544;31;Componentes y Suministros de Manufactura;3112;Piezas fundidas maquinadas;2025-10-10 18:07:06;2025-10-10 18:07:06
545;31;Componentes y Suministros de Manufactura;3113;Forjaduras;2025-10-10 18:07:06;2025-10-10 18:07:06
546;31;Componentes y Suministros de Manufactura;3114;Molduras;2025-10-10 18:07:06;2025-10-10 18:07:06
547;31;Componentes y Suministros de Manufactura;3115;"Cuerda, cadena, cable, alambre y correa";2025-10-10 18:07:06;2025-10-10 18:07:06
548;31;Componentes y Suministros de Manufactura;3116;Ferretería;2025-10-10 18:07:07;2025-10-10 18:07:07
549;31;Componentes y Suministros de Manufactura;3117;"Rodamientos, cojinetes ruedas y engranajes";2025-10-10 18:07:07;2025-10-10 18:07:07
550;31;Componentes y Suministros de Manufactura;3118;"Empaques, glándulas, fundas y cubiertas";2025-10-10 18:07:07;2025-10-10 18:07:07
551;31;Componentes y Suministros de Manufactura;3119;Materiales de afilado pulido y alisado;2025-10-10 18:07:07;2025-10-10 18:07:07
552;31;Componentes y Suministros de Manufactura;3120;Adhesivos y selladores;2025-10-10 18:07:07;2025-10-10 18:07:07
553;31;Componentes y Suministros de Manufactura;3121;Pinturas y bases y acabados;2025-10-10 18:07:08;2025-10-10 18:07:08
554;31;Componentes y Suministros de Manufactura;3122;Extractos de teñir y de curtir;2025-10-10 18:07:08;2025-10-10 18:07:08
555;31;Componentes y Suministros de Manufactura;3123;Materia prima en placas o barras labradas;2025-10-10 18:07:08;2025-10-10 18:07:08
556;31;Componentes y Suministros de Manufactura;3124;Óptica industrial;2025-10-10 18:07:08;2025-10-10 18:07:08
557;31;Componentes y Suministros de Manufactura;3125;"Sistemas de control neumático, hidráulico o eléctrico";2025-10-10 18:07:08;2025-10-10 18:07:08
558;31;Componentes y Suministros de Manufactura;3126;"Cubiertas, cajas y envolturas";2025-10-10 18:07:09;2025-10-10 18:07:09
559;31;Componentes y Suministros de Manufactura;3127;Piezas hechas a máquina;2025-10-10 18:07:09;2025-10-10 18:07:09
560;31;Componentes y Suministros de Manufactura;3128;Componentes de placa y estampados;2025-10-10 18:07:09;2025-10-10 18:07:09
561;31;Componentes y Suministros de Manufactura;3129;Extrusiones maquinadas;2025-10-10 18:07:09;2025-10-10 18:07:09
562;31;Componentes y Suministros de Manufactura;3130;Forjas labradas;2025-10-10 18:07:09;2025-10-10 18:07:09
563;31;Componentes y Suministros de Manufactura;3131;Ensambles de tubería fabricada;2025-10-10 18:07:10;2025-10-10 18:07:10
564;31;Componentes y Suministros de Manufactura;3132;Ensambles fabricados de material en barras;2025-10-10 18:07:10;2025-10-10 18:07:10
565;31;Componentes y Suministros de Manufactura;3133;Ensambles estructurales fabricados;2025-10-10 18:07:10;2025-10-10 18:07:10
566;31;Componentes y Suministros de Manufactura;3134;Ensambles de lámina fabricado;2025-10-10 18:07:10;2025-10-10 18:07:10
567;31;Componentes y Suministros de Manufactura;3135;Ensambles de tubería fabricada;2025-10-10 18:07:10;2025-10-10 18:07:10
568;31;Componentes y Suministros de Manufactura;3136;Ensambles de placa fabricados;2025-10-10 18:07:11;2025-10-10 18:07:11
569;31;Componentes y Suministros de Manufactura;3137;Refractarios;2025-10-10 18:07:11;2025-10-10 18:07:11
570;31;Componentes y Suministros de Manufactura;3138;Imanes y materiales magnéticos;2025-10-10 18:07:11;2025-10-10 18:07:11
571;31;Componentes y Suministros de Manufactura;3139;Maquinados;2025-10-10 18:07:11;2025-10-10 18:07:11
572;31;Componentes y Suministros de Manufactura;3140;Empaques;2025-10-10 18:07:11;2025-10-10 18:07:11
573;31;Componentes y Suministros de Manufactura;3141;Sellos;2025-10-10 18:07:12;2025-10-10 18:07:12
574;31;Componentes y Suministros de Manufactura;3142;Partes sinterizadas;2025-10-10 18:07:12;2025-10-10 18:07:12
575;32;Componentes y Suministros Electrónicos;3210;"Circuitos impresos, circuitos integrados y micro ensamblajes";2025-10-10 18:07:12;2025-10-10 18:07:12
